Code,Description,Classify as a Loss
100,COLD CALL,No
110,NEW PROSPECT INCOMING PHONE,No
120,CALL ON EXISTING CUSTOMER,No
130,EXISTING CUSTOMER PHONED IN,No
140,RESPONSE FROM MAILING,No
200,INITIAL MEETING WITH PROSPECT,No
300,BEGIN DESIGN WORK,No
320,REVIEW ARTWORK,No
340,FINAL ARTWORK,No
360,REVIEW ARTWORK WITH CUSTOMER,No
400,FIRST REQUEST TO ESTIMATOR,No
420,PRESENT CUSTOMER WITH PROPOSAL,No
440,BACK TO ART DEPT FOR CHANGES,No
460,BACK TO ESTIMATOR FOR CHANGES,No
480,BACK TO CUSTOMER WITH REVISIONS,No
500,NEGOTIATIONS,No
550,VERBAL ACCEPTANCE,No
560,SIGNED PROPOSAL,No
900,CLOSED - LOST TO COMPETITION,No
910,CLOSED - NO DECISION,No
920,CLOSED - CHOSE OTHER QUOTE,No
