Code,Description,"Stores
Account","WIP
Account","Matl
Outp","Material
Markup","Outplant 
Markup"
ADHES,"ADHESIVE, CAULK, SILICONE",1100,1110,M,1.65,
BALLST,BALLASTS,1100,1110,M,2.00,
BANNER,BANNERS & MATERIAL,1100,1110,M,1.75,
CNCRT,CONCRETE,9999,1110,O,,1.25
ELECT,ELECTRICAL PARTS,1100,1110,M,1.75,
FADHES,"ADHESIVE, CAULK, SILICONE",1100,1110,M,1.75,
FALEXT,ALUMINUM EXTRUSIONS,1100,1110,M,1.75,
FALUM,ALUMINUM SHEET & SHAPES,1100,1110,M,1.75,
FAWN,AWNING MATERIAL,1100,1110,M,1.75,
FCABNT,CABINETS - FABRICATED,1100,1110,M,1.50,
FCHANG,CHANGEABLE LETTER MATERIAL,1100,1110,M,1.75,
FCHANN,CHANNEL LETTER MATERIAL,1100,1110,M,1.75,
FCOOLY,COOLEY MATERIAL,1100,1110,M,1.75,
FFABRC,MISCELLANEOUS FABRICS,1100,1110,M,1.75,
FFACE,FORMED FACES,1100,1110,M,1.75,
FFLAG,"FLAGS, POLES AND ACCESSORIES",1100,1110,M,1.50,
FFRMPL,FORMED PLASTIC LETTERS,1100,1110,M,1.75,
FLEXAN,LEXAN,1100,1110,M,1.75,
FLUMBR,LUMBER,1100,1110,M,1.75,
FMILIK,MILIKIN MATERIAL,1100,1110,M,1.75,
FMISC,MISC FABRICATION MATERIAL,1100,1110,M,1.75,
FPLEX,PLEXIGLAS & ACRYLICS,1100,1110,M,1.75,
FREALT,REALTOR SIGN MATERIAL,1100,1110,M,1.75,
FSHIP,SHIPPING MATERIAL,1100,1110,M,1.75,
FSOFFT,SOFFIT MATERIAL,1100,1110,M,1.75,
FSTANG,STEEL ANGLE IRON,1100,1110,M,1.75,
FSTBC,STEEL BEAMS AND CHANNEL IRON,1100,1110,M,1.75,
FSTFLT,FLAT STEEL,1100,1110,M,1.75,
FSTMIS,MISC STEEL SHAPES & REBAR,1100,1110,M,1.75,
FSTPIP,STEEL PIPE,1100,1110,M,1.75,
FSTPLT,STEEL PLATE AND SHEET,1100,1110,M,1.75,
FSTTBE,STEEL TUBE,1100,1100,M,1.75,
HRDWRE,HARDWARE,1100,1110,M,1.75,
INSTL,INSTALL MATERIAL,1100,1110,M,1.75,
LAMPS,LAMPS,1100,1110,M,2.20,
MFGSGN,MANUFACTURED SIGNS,1100,1110,M,1.25,
MSGTT,ELECTRONIC PARTS M/C T/T,1100,1110,M,1.75,
NEON,NEON PARTS,1100,1110,M,1.75,
OUT1,OUTSOURCE,9999,1140,O,,1.25
OUTMAT,Misc Material Outsourcing,1100,1110,M,1.75,
PAINT,"PAINTS, THINNERS, ETC.",1100,1110,M,1.75,
SRVCE,SERVICE MATERIAL,1100,1110,M,1.75,
TRANSF,TRANSFORMERS,1100,1110,M,2.00,
TRVL,TRAVEL,1110,1110,M,0.83,
VGREG,GREGORY VINYL MATERIAL,1100,1110,M,2.00,
VGRPH,PRINTED VINYL GRAPHICS,1100,1110,M,1.50,
VHRDWE,VINYL HARDWARE,1100,1110,M,1.75,
VINYL,MISC VINYL MATERIAL,1100,1110,M,2.00,
VPRINT,GRAPHIC PRINTING SUPPLIES,1100,1110,M,2.00,
VREFL,REFLECTIVE VINYLS,1100,1110,M,2.00,
VSCTCL,SCOTCHCAL MATERIAL,1100,1110,M,2.00,
VTRANS,TRANSLUCENT VINYLS,1100,1110,M,2.00,
